customer_external_id,ticket_id,created_at,status,priority,resolution_days,csat_score
CUST-00927,ZD-100035,2026-01-26T16:09:18.269787,open,low,13.0,
CUST-00243,ZD-100036,2025-05-18T16:09:18.269792,pending,normal,10.0,
CUST-00135,ZD-100037,2024-07-23T16:09:18.269798,pending,normal,9.0,5.0
CUST-00826,ZD-100038,2025-01-07T16:09:18.269804,solved,low,3.0,5.0
CUST-00362,ZD-100039,2024-12-21T16:09:18.269810,pending,low,6.0,1.0
CUST-00062,ZD-100040,2025-01-11T16:09:18.269815,open,low,11.0,3.0
CUST-00196,ZD-100041,2025-08-17T16:09:18.269825,pending,normal,8.0,5.0
CUST-00187,ZD-100042,2025-05-18T16:09:18.269831,closed,low,7.0,5.0
CUST-00827,ZD-100043,2024-08-13T16:09:18.269837,solved,low,1.0,1.0
CUST-00948,ZD-100044,2025-06-30T16:09:18.269843,pending,urgent,2.0,5.0
CUST-00218,ZD-100045,2025-01-13T16:09:18.269849,solved,normal,14.0,5.0
CUST-00002,ZD-100046,2025-01-24T16:09:18.269855,pending,high,4.0,5.0
CUST-00713,ZD-100047,2024-08-07T16:09:18.269862,pending,normal,10.0,3.0
CUST-00303,ZD-100048,2025-07-20T16:09:18.269869,solved,high,0.0,1.0
CUST-00051,ZD-100049,2024-07-09T16:09:18.269875,closed,low,7.0,
CUST-00082,ZD-100050,2025-08-21T16:09:18.269881,solved,normal,1.0,5.0
CUST-00122,ZD-100051,2024-07-24T16:09:18.269886,solved,low,3.0,5.0
CUST-00673,ZD-100052,2024-07-10T16:09:18.269892,open,high,9.0,3.0
CUST-00685,ZD-100053,2025-04-12T16:09:18.269898,open,urgent,3.0,3.0
CUST-00687,ZD-100054,2025-04-26T16:09:18.269904,open,low,7.0,1.0
CUST-00469,ZD-100055,2024-07-31T16:09:18.269909,solved,normal,1.0,
CUST-00271,ZD-100056,2025-10-15T16:09:18.269915,open,low,14.0,3.0
CUST-00378,ZD-100057,2025-05-12T16:09:18.269921,pending,high,2.0,
CUST-00826,ZD-100058,2024-09-04T16:09:18.269926,open,low,0.0,3.0
CUST-00270,ZD-100059,2025-11-01T16:09:18.269932,solved,normal,14.0,4.0
CUST-00288,ZD-100060,2025-07-27T16:09:18.269938,open,normal,11.0,4.0
CUST-00517,ZD-100061,2024-10-15T16:09:18.269944,solved,low,4.0,5.0
CUST-00849,ZD-100062,2025-05-20T16:09:18.269950,solved,high,0.0,3.0
CUST-00652,ZD-100063,2025-06-04T16:09:18.269955,pending,urgent,2.0,
CUST-00009,ZD-100064,2025-11-05T16:09:18.269961,closed,low,1.0,4.0
CUST-00596,ZD-100065,2024-08-11T16:09:18.269967,pending,normal,2.0,1.0
CUST-00315,ZD-100066,2025-02-19T16:09:18.269973,solved,high,14.0,3.0
CUST-00698,ZD-100067,2025-06-17T16:09:18.269978,solved,high,10.0,
CUST-00905,ZD-100068,2025-01-07T16:09:18.269984,closed,normal,9.0,3.0
CUST-00999,ZD-100069,2025-08-30T16:09:18.269990,pending,low,14.0,3.0
CUST-00754,ZD-100070,2025-03-24T16:09:18.269996,pending,normal,12.0,4.0
CUST-00163,ZD-100071,2025-11-09T16:09:18.270001,solved,urgent,6.0,3.0
CUST-00204,ZD-100072,2024-11-13T16:09:18.270007,open,normal,5.0,3.0
CUST-00024,ZD-100073,2025-08-14T16:09:18.270013,open,high,6.0,1.0
CUST-00990,ZD-100074,2025-05-18T16:09:18.270018,pending,high,5.0,1.0
CUST-00118,ZD-100075,2025-06-05T16:09:18.270024,open,low,2.0,1.0
CUST-00610,ZD-100076,2024-12-10T16:09:18.270029,open,urgent,5.0,
CUST-00523,ZD-100077,2025-11-01T16:09:18.270036,closed,high,6.0,1.0
CUST-00725,ZD-100078,2024-12-08T16:09:18.270042,closed,high,0.0,5.0
CUST-00071,ZD-100079,2025-03-26T16:09:18.270047,open,low,9.0,4.0
CUST-00519,ZD-100080,2025-04-17T16:09:18.270053,pending,high,10.0,5.0
CUST-00713,ZD-100081,2025-05-01T16:09:18.270059,closed,normal,8.0,5.0
CUST-00680,ZD-100082,2025-02-04T16:09:18.270064,closed,high,10.0,5.0
CUST-00561,ZD-100083,2026-02-27T16:09:18.270070,open,normal,4.0,5.0
CUST-00804,ZD-100084,2024-07-14T16:09:18.270075,open,urgent,9.0,5.0
CUST-00452,ZD-100085,2025-07-24T16:09:18.270081,pending,normal,8.0,1.0
CUST-00290,ZD-100086,2024-09-18T16:09:18.270086,open,low,10.0,3.0
CUST-00688,ZD-100087,2025-04-16T16:09:18.270092,closed,normal,3.0,1.0
CUST-00047,ZD-100088,2025-06-22T16:09:18.270097,solved,urgent,7.0,5.0
CUST-00907,ZD-100089,2024-07-18T16:09:18.270103,pending,urgent,3.0,5.0
CUST-00249,ZD-100090,2025-09-29T16:09:18.270109,solved,low,10.0,5.0
CUST-00224,ZD-100091,2025-08-31T16:09:18.270115,pending,low,12.0,
CUST-00255,ZD-100092,2025-10-26T16:09:18.270124,closed,urgent,7.0,
CUST-00572,ZD-100093,2025-04-09T16:09:18.270131,pending,urgent,12.0,
CUST-00456,ZD-100094,2025-09-18T16:09:18.270137,pending,urgent,11.0,4.0
CUST-00769,ZD-100095,2025-06-19T16:09:18.270142,open,urgent,13.0,3.0
CUST-00281,ZD-100096,2024-12-04T16:09:18.270148,open,normal,1.0,4.0
CUST-00343,ZD-100097,2025-04-06T16:09:18.270154,solved,normal,14.0,3.0
CUST-00236,ZD-100098,2025-01-31T16:09:18.270159,closed,normal,11.0,1.0
CUST-00424,ZD-100099,2025-01-06T16:09:18.270165,pending,urgent,5.0,1.0
CUST-00211,ZD-100100,2024-12-24T16:09:18.270170,solved,urgent,6.0,5.0
CUST-00006,ZD-100101,2025-03-04T16:09:18.270176,pending,urgent,4.0,
CUST-00765,ZD-100102,2024-08-17T16:09:18.270182,closed,urgent,12.0,3.0
CUST-00279,ZD-100103,2024-12-08T16:09:18.270187,solved,urgent,7.0,4.0
CUST-00684,ZD-100104,2025-01-09T16:09:18.270193,closed,urgent,11.0,3.0
CUST-00637,ZD-100105,2024-08-30T16:09:18.270198,pending,low,0.0,1.0
CUST-00658,ZD-100106,2024-12-16T16:09:18.270204,pending,normal,2.0,1.0
CUST-00266,ZD-100107,2025-02-04T16:09:18.270209,closed,urgent,5.0,4.0
CUST-00345,ZD-100108,2025-02-04T16:09:18.270215,pending,high,4.0,1.0
CUST-00481,ZD-100109,2026-02-08T16:09:18.270221,solved,high,11.0,3.0
CUST-00665,ZD-100110,2025-12-19T16:09:18.270227,solved,low,12.0,3.0
CUST-00204,ZD-100111,2026-02-07T16:09:18.270232,closed,normal,9.0,3.0
CUST-00484,ZD-100112,2025-11-02T16:09:18.270238,closed,urgent,9.0,4.0
CUST-00785,ZD-100113,2025-02-15T16:09:18.270244,solved,normal,2.0,4.0
CUST-00110,ZD-100114,2024-07-15T16:09:18.270249,open,urgent,0.0,5.0
CUST-00964,ZD-100115,2025-08-08T16:09:18.270255,closed,low,1.0,4.0
CUST-00870,ZD-100116,2025-10-27T16:09:18.270282,solved,high,12.0,
CUST-00438,ZD-100117,2025-02-13T16:09:18.270290,open,low,1.0,5.0
CUST-00842,ZD-100118,2024-10-14T16:09:18.270296,pending,high,1.0,5.0
CUST-00724,ZD-100119,2025-09-24T16:09:18.270302,closed,high,6.0,
CUST-00827,ZD-100120,2024-08-25T16:09:18.270308,pending,urgent,12.0,5.0
CUST-00845,ZD-100121,2025-05-29T16:09:18.270314,closed,low,5.0,4.0
CUST-00902,ZD-100122,2024-11-23T16:09:18.270319,pending,urgent,3.0,4.0
CUST-00029,ZD-100123,2024-10-09T16:09:18.270325,open,normal,13.0,5.0
CUST-00217,ZD-100124,2025-03-01T16:09:18.270331,open,high,12.0,4.0
CUST-00901,ZD-100125,2025-05-21T16:09:18.270336,solved,normal,8.0,1.0
CUST-00247,ZD-100126,2025-01-07T16:09:18.270342,closed,urgent,7.0,5.0
CUST-00458,ZD-100127,2026-02-10T16:09:18.270348,open,normal,1.0,5.0
CUST-00708,ZD-100128,2025-06-23T16:09:18.270354,open,urgent,4.0,
CUST-00543,ZD-100129,2025-03-12T16:09:18.270360,open,high,6.0,5.0
CUST-00277,ZD-100130,2025-04-20T16:09:18.270365,closed,low,4.0,3.0
CUST-00323,ZD-100131,2025-10-28T16:09:18.270371,closed,normal,11.0,3.0
CUST-00756,ZD-100132,2024-10-20T16:09:18.270377,open,low,4.0,3.0
CUST-00303,ZD-100133,2025-07-10T16:09:18.270383,closed,high,5.0,1.0
CUST-00725,ZD-100134,2024-08-30T16:09:18.270389,open,low,2.0,1.0
CUST-00566,ZD-100135,2025-05-04T16:09:18.270394,closed,urgent,11.0,1.0
CUST-00893,ZD-100136,2026-02-15T16:09:18.270400,open,urgent,9.0,5.0
CUST-00451,ZD-100137,2025-03-16T16:09:18.270405,solved,high,2.0,5.0
CUST-00116,ZD-100138,2025-12-23T16:09:18.270411,pending,low,6.0,
CUST-00644,ZD-100139,2026-01-04T16:09:18.270416,closed,high,2.0,1.0
CUST-00254,ZD-100140,2025-10-29T16:09:18.270422,pending,normal,8.0,
CUST-00389,ZD-100141,2024-11-23T16:09:18.270427,pending,high,14.0,
CUST-00439,ZD-100142,2025-04-21T16:09:18.270433,solved,low,9.0,3.0
CUST-00640,ZD-100143,2025-07-26T16:09:18.270439,solved,normal,4.0,3.0
CUST-00177,ZD-100144,2024-08-11T16:09:18.270450,closed,low,1.0,5.0
CUST-00461,ZD-100145,2024-11-03T16:09:18.270456,solved,normal,4.0,4.0
CUST-00723,ZD-100146,2025-05-14T16:09:18.270462,pending,low,11.0,3.0
CUST-00946,ZD-100147,2025-06-02T16:09:18.270471,closed,urgent,12.0,1.0
CUST-00557,ZD-100148,2025-07-12T16:09:18.270477,closed,high,10.0,3.0
CUST-00073,ZD-100149,2025-12-28T16:09:18.270482,open,high,2.0,5.0
CUST-00127,ZD-100150,2024-11-05T16:09:18.270488,open,urgent,11.0,4.0
CUST-00512,ZD-100151,2024-08-24T16:09:18.270494,pending,low,7.0,
CUST-00040,ZD-100152,2024-12-12T16:09:18.270499,open,high,11.0,1.0
CUST-00093,ZD-100153,2025-07-08T16:09:18.270505,solved,high,10.0,
CUST-00041,ZD-100154,2025-09-01T16:09:18.270511,pending,high,7.0,3.0
CUST-00599,ZD-100155,2024-12-08T16:09:18.270517,pending,low,10.0,5.0
CUST-00356,ZD-100156,2025-01-05T16:09:18.270522,open,low,5.0,3.0
CUST-00337,ZD-100157,2025-01-02T16:09:18.270528,pending,high,11.0,5.0
CUST-00833,ZD-100158,2024-08-13T16:09:18.270534,pending,low,0.0,4.0
CUST-00258,ZD-100159,2025-04-02T16:09:18.270539,pending,low,1.0,
CUST-00473,ZD-100160,2024-12-31T16:09:18.270545,closed,high,0.0,
CUST-00774,ZD-100161,2024-10-05T16:09:18.270550,pending,low,10.0,3.0
CUST-00273,ZD-100162,2024-08-14T16:09:18.270556,open,urgent,2.0,5.0
CUST-00124,ZD-100163,2026-01-29T16:09:18.270561,closed,normal,10.0,4.0
CUST-00564,ZD-100164,2026-02-13T16:09:18.270567,pending,low,8.0,3.0
CUST-00861,ZD-100165,2025-11-03T16:09:18.270572,solved,normal,7.0,5.0
CUST-00955,ZD-100166,2025-05-05T16:09:18.270578,open,urgent,8.0,5.0
CUST-00483,ZD-100167,2025-06-23T16:09:18.270584,closed,urgent,7.0,3.0
CUST-00943,ZD-100168,2024-09-25T16:09:18.270589,closed,low,11.0,4.0
CUST-00791,ZD-100169,2024-12-30T16:09:18.270595,open,low,5.0,4.0
CUST-00743,ZD-100170,2025-04-28T16:09:18.270601,pending,normal,13.0,5.0
CUST-00551,ZD-100171,2024-10-20T16:09:18.270607,open,urgent,5.0,5.0
CUST-00955,ZD-100172,2025-04-04T16:09:18.270612,closed,normal,13.0,
CUST-00392,ZD-100173,2025-07-03T16:09:18.270618,pending,low,13.0,4.0
CUST-00762,ZD-100174,2024-10-31T16:09:18.270624,pending,urgent,11.0,3.0
CUST-00507,ZD-100175,2026-01-21T16:09:18.270630,open,low,2.0,5.0
CUST-00102,ZD-100176,2024-09-07T16:09:18.270635,pending,low,14.0,3.0
CUST-00419,ZD-100177,2025-09-22T16:09:18.270641,pending,high,1.0,4.0
CUST-00638,ZD-100178,2025-01-16T16:09:18.270647,solved,high,10.0,
CUST-00389,ZD-100179,2025-04-09T16:09:18.270656,pending,low,10.0,
CUST-00070,ZD-100180,2025-07-02T16:09:18.270661,open,normal,10.0,1.0
CUST-00444,ZD-100181,2025-11-19T16:09:18.270667,solved,urgent,12.0,3.0
CUST-00710,ZD-100182,2025-04-27T16:09:18.270673,solved,low,14.0,4.0
CUST-00815,ZD-100183,2026-01-01T16:09:18.270678,open,high,4.0,5.0
CUST-00149,ZD-100184,2025-06-22T16:09:18.270684,pending,normal,8.0,3.0
CUST-00179,ZD-100185,2025-12-09T16:09:18.270689,pending,normal,9.0,5.0
CUST-00934,ZD-100186,2024-07-10T16:09:18.270695,closed,urgent,2.0,4.0
CUST-00470,ZD-100187,2025-06-11T16:09:18.270700,solved,urgent,10.0,4.0
CUST-00693,ZD-100188,2024-08-17T16:09:18.270706,solved,urgent,2.0,4.0
CUST-00601,ZD-100189,2025-04-27T16:09:18.270711,pending,high,10.0,5.0
CUST-00865,ZD-100190,2025-04-24T16:09:18.270717,pending,urgent,3.0,1.0
CUST-00242,ZD-100191,2025-02-02T16:09:18.270723,open,high,9.0,4.0
CUST-00022,ZD-100192,2025-01-18T16:09:18.270728,solved,low,4.0,
CUST-00763,ZD-100193,2024-10-07T16:09:18.270734,open,normal,13.0,
CUST-00821,ZD-100194,2025-03-04T16:09:18.270743,closed,high,3.0,3.0
CUST-00643,ZD-100195,2025-11-20T16:09:18.270749,solved,high,14.0,5.0
CUST-00034,ZD-100196,2024-07-14T16:09:18.270754,closed,low,5.0,4.0
CUST-00334,ZD-100197,2024-12-29T16:09:18.270760,closed,normal,2.0,
CUST-00897,ZD-100198,2025-02-18T16:09:18.270765,open,normal,8.0,4.0
CUST-00935,ZD-100199,2024-10-22T16:09:18.270772,open,high,12.0,1.0
CUST-00479,ZD-100200,2025-12-12T16:09:18.270777,closed,urgent,2.0,
CUST-00374,ZD-100201,2025-11-27T16:09:18.270783,pending,low,12.0,4.0
CUST-00549,ZD-100202,2025-10-24T16:09:18.270789,open,high,7.0,
CUST-00390,ZD-100203,2025-02-12T16:09:18.270795,closed,urgent,1.0,1.0
CUST-00634,ZD-100204,2024-08-02T16:09:18.270801,closed,low,5.0,5.0
CUST-00931,ZD-100205,2025-04-24T16:09:18.270806,pending,low,10.0,3.0
CUST-00046,ZD-100206,2026-01-20T16:09:18.270812,pending,low,4.0,1.0
CUST-00240,ZD-100207,2024-08-26T16:09:18.270817,pending,urgent,2.0,4.0
CUST-00686,ZD-100208,2024-08-23T16:09:18.270823,closed,urgent,6.0,1.0
CUST-00853,ZD-100209,2024-10-14T16:09:18.270829,pending,high,9.0,1.0
CUST-00706,ZD-100210,2025-02-13T16:09:18.270837,pending,urgent,3.0,3.0
CUST-00875,ZD-100211,2025-02-21T16:09:18.270845,open,high,1.0,1.0
CUST-00407,ZD-100212,2025-05-21T16:09:18.270851,solved,urgent,3.0,1.0
CUST-00678,ZD-100213,2025-07-25T16:09:18.270857,solved,low,10.0,4.0
CUST-00249,ZD-100214,2025-10-22T16:09:18.270863,closed,low,12.0,
CUST-00212,ZD-100215,2024-07-07T16:09:18.270868,closed,high,3.0,3.0
CUST-00807,ZD-100216,2026-02-25T16:09:18.270874,closed,normal,4.0,
CUST-00256,ZD-100217,2025-09-02T16:09:18.270880,solved,normal,1.0,1.0
CUST-00366,ZD-100218,2025-06-29T16:09:18.270885,open,low,9.0,3.0
CUST-00271,ZD-100219,2026-01-05T16:09:18.270891,pending,low,2.0,1.0
CUST-00487,ZD-100220,2024-11-25T16:09:18.270897,open,low,12.0,5.0
CUST-00515,ZD-100221,2025-07-16T16:09:18.270902,solved,high,9.0,5.0
CUST-00658,ZD-100222,2026-01-27T16:09:18.270908,pending,urgent,0.0,5.0
CUST-00702,ZD-100223,2025-11-09T16:09:18.270913,pending,low,7.0,1.0
CUST-00329,ZD-100224,2025-09-29T16:09:18.270919,closed,high,1.0,
CUST-00648,ZD-100225,2024-07-08T16:09:18.270924,open,urgent,8.0,
CUST-00543,ZD-100226,2025-05-02T16:09:18.270930,pending,low,7.0,1.0
CUST-00873,ZD-100227,2024-08-12T16:09:18.270936,closed,urgent,11.0,5.0
CUST-00909,ZD-100228,2025-07-09T16:09:18.270941,open,urgent,6.0,5.0
CUST-00425,ZD-100229,2025-11-22T16:09:18.270950,pending,high,5.0,4.0
CUST-00383,ZD-100230,2025-09-24T16:09:18.270955,pending,low,10.0,1.0
CUST-00851,ZD-100231,2025-12-02T16:09:18.270961,pending,low,1.0,4.0
CUST-00831,ZD-100232,2025-10-17T16:09:18.270966,solved,high,8.0,1.0
CUST-00420,ZD-100233,2025-03-02T16:09:18.270972,pending,low,13.0,4.0
CUST-00614,ZD-100234,2025-04-14T16:09:18.270978,solved,normal,5.0,3.0
CUST-00672,ZD-100235,2024-10-22T16:09:18.270984,solved,high,3.0,
CUST-00376,ZD-100236,2025-11-02T16:09:18.270989,open,normal,12.0,5.0
CUST-00865,ZD-100237,2024-08-02T16:09:18.270995,solved,high,12.0,1.0
CUST-00184,ZD-100238,2025-05-24T16:09:18.271001,open,high,11.0,4.0
CUST-00006,ZD-100239,2025-08-26T16:09:18.271006,closed,urgent,13.0,1.0
CUST-00145,ZD-100240,2026-01-27T16:09:18.271012,closed,urgent,1.0,5.0
CUST-00464,ZD-100241,2025-03-15T16:09:18.271018,open,high,2.0,4.0
CUST-00795,ZD-100242,2024-07-26T16:09:18.271023,solved,low,9.0,3.0
CUST-00161,ZD-100243,2026-01-08T16:09:18.271032,solved,high,10.0,5.0
CUST-00677,ZD-100244,2024-12-20T16:09:18.271037,pending,urgent,7.0,4.0
CUST-00220,ZD-100245,2024-09-21T16:09:18.271046,open,urgent,1.0,1.0
CUST-00290,ZD-100246,2024-10-17T16:09:18.271051,open,low,8.0,3.0
CUST-00404,ZD-100247,2026-01-02T16:09:18.271057,closed,high,0.0,3.0
CUST-00785,ZD-100248,2025-10-10T16:09:18.271062,open,high,12.0,4.0
CUST-00122,ZD-100249,2026-02-20T16:09:18.271075,pending,normal,7.0,3.0
CUST-00389,ZD-100250,2024-08-31T16:09:18.271081,closed,high,11.0,1.0
CUST-00406,ZD-100251,2026-01-15T16:09:18.271086,solved,urgent,6.0,1.0
CUST-00882,ZD-100252,2025-04-13T16:09:18.271092,pending,urgent,9.0,5.0
CUST-00296,ZD-100253,2025-11-02T16:09:18.271098,solved,high,6.0,3.0
CUST-00820,ZD-100254,2024-11-13T16:09:18.271103,open,low,13.0,5.0
CUST-00864,ZD-100255,2025-11-11T16:09:18.271109,pending,urgent,3.0,
CUST-00080,ZD-100256,2025-01-18T16:09:18.271115,open,high,13.0,3.0
CUST-00341,ZD-100257,2025-09-08T16:09:18.271120,solved,normal,1.0,4.0
CUST-00359,ZD-100258,2025-09-29T16:09:18.271126,solved,normal,3.0,4.0
CUST-00202,ZD-100259,2025-09-03T16:09:18.271132,closed,low,9.0,3.0
CUST-00974,ZD-100260,2024-10-10T16:09:18.271137,pending,high,7.0,4.0
CUST-00154,ZD-100261,2024-12-04T16:09:18.271144,pending,urgent,1.0,4.0
CUST-00815,ZD-100262,2025-05-22T16:09:18.271149,solved,high,9.0,
CUST-00075,ZD-100263,2025-04-16T16:09:18.271155,pending,low,7.0,1.0
CUST-00377,ZD-100264,2025-05-10T16:09:18.271160,solved,urgent,1.0,5.0
CUST-00594,ZD-100265,2024-08-09T16:09:18.271167,solved,urgent,12.0,
CUST-00667,ZD-100266,2025-08-19T16:09:18.271172,pending,normal,5.0,1.0
CUST-00461,ZD-100267,2025-11-14T16:09:18.271178,open,low,12.0,
CUST-00661,ZD-100268,2025-09-04T16:09:18.271186,closed,urgent,0.0,5.0
CUST-00536,ZD-100269,2024-09-10T16:09:18.271192,closed,high,9.0,4.0
CUST-00939,ZD-100270,2025-05-14T16:09:18.271198,pending,high,6.0,
CUST-00053,ZD-100271,2025-03-22T16:09:18.271204,open,low,1.0,
CUST-00694,ZD-100272,2025-01-28T16:09:18.271209,open,normal,4.0,4.0
CUST-00083,ZD-100273,2024-07-11T16:09:18.271215,closed,high,10.0,4.0
CUST-00990,ZD-100274,2025-01-22T16:09:18.271220,solved,high,2.0,
CUST-00385,ZD-100275,2025-03-28T16:09:18.271229,closed,low,13.0,5.0
CUST-00520,ZD-100276,2025-02-22T16:09:18.271235,open,high,0.0,3.0
CUST-00973,ZD-100277,2025-07-23T16:09:18.271240,pending,normal,5.0,3.0
CUST-00140,ZD-100278,2025-09-22T16:09:18.271246,open,low,1.0,
CUST-00789,ZD-100279,2024-08-24T16:09:18.271252,solved,high,13.0,
CUST-00134,ZD-100280,2025-02-07T16:09:18.271271,closed,normal,2.0,
CUST-00828,ZD-100281,2025-09-11T16:09:18.271283,pending,low,11.0,5.0
CUST-00373,ZD-100282,2025-06-29T16:09:18.271290,open,urgent,7.0,3.0
CUST-00546,ZD-100283,2025-06-28T16:09:18.271296,pending,normal,4.0,4.0
CUST-00694,ZD-100284,2024-07-23T16:09:18.271301,pending,high,7.0,5.0
CUST-00514,ZD-100285,2024-09-05T16:09:18.271307,closed,normal,6.0,
CUST-00141,ZD-100286,2025-06-16T16:09:18.271312,pending,high,0.0,
CUST-00956,ZD-100287,2025-11-14T16:09:18.271318,solved,high,11.0,1.0
CUST-00781,ZD-100288,2025-09-16T16:09:18.271328,pending,normal,4.0,5.0
CUST-00093,ZD-100289,2025-07-15T16:09:18.271334,pending,high,13.0,1.0
CUST-00424,ZD-100290,2026-01-04T16:09:18.271340,open,normal,6.0,5.0
CUST-00083,ZD-100291,2025-02-09T16:09:18.271346,solved,high,3.0,1.0
CUST-00859,ZD-100292,2025-03-21T16:09:18.271351,closed,normal,12.0,1.0
CUST-00293,ZD-100293,2024-11-01T16:09:18.271357,closed,urgent,11.0,5.0
CUST-00630,ZD-100294,2026-02-22T16:09:18.271363,solved,low,14.0,4.0
CUST-00220,ZD-100295,2025-09-27T16:09:18.271368,pending,low,8.0,4.0
CUST-00243,ZD-100296,2025-04-25T16:09:18.271377,solved,normal,1.0,5.0
CUST-00654,ZD-100297,2024-11-16T16:09:18.271383,solved,urgent,1.0,
CUST-00548,ZD-100298,2026-02-11T16:09:18.271389,closed,normal,10.0,4.0
CUST-00439,ZD-100299,2026-02-26T16:09:18.271394,open,normal,9.0,
CUST-00426,ZD-100300,2025-08-20T16:09:18.271400,solved,high,10.0,1.0
CUST-00976,ZD-100301,2024-09-07T16:09:18.271405,solved,urgent,8.0,5.0
CUST-00044,ZD-100302,2025-01-27T16:09:18.271411,open,low,5.0,4.0
CUST-00807,ZD-100303,2025-12-20T16:09:18.271417,closed,low,5.0,
CUST-00752,ZD-100304,2025-03-24T16:09:18.271422,solved,high,2.0,
CUST-00346,ZD-100305,2025-09-01T16:09:18.271427,pending,urgent,13.0,3.0
CUST-00830,ZD-100306,2025-10-12T16:09:18.271436,pending,low,1.0,4.0
CUST-00206,ZD-100307,2026-01-14T16:09:18.271444,closed,low,12.0,4.0
CUST-00955,ZD-100308,2025-04-16T16:09:18.271450,pending,urgent,8.0,4.0
CUST-00037,ZD-100309,2025-08-16T16:09:18.271456,open,low,4.0,4.0
CUST-00279,ZD-100310,2025-10-23T16:09:18.271462,open,urgent,12.0,5.0
CUST-00761,ZD-100311,2024-12-04T16:09:18.271468,pending,high,14.0,3.0
CUST-00508,ZD-100312,2024-10-06T16:09:18.271473,open,low,5.0,5.0
CUST-00080,ZD-100313,2024-12-14T16:09:18.271479,closed,high,9.0,4.0
CUST-00105,ZD-100314,2025-12-08T16:09:18.271484,open,high,5.0,5.0
CUST-00617,ZD-100315,2024-12-18T16:09:18.271490,pending,high,2.0,5.0
CUST-00043,ZD-100316,2025-03-03T16:09:18.271495,pending,high,9.0,1.0
CUST-00076,ZD-100317,2025-01-08T16:09:18.271501,closed,low,5.0,3.0
CUST-00869,ZD-100318,2024-12-06T16:09:18.271507,closed,low,0.0,3.0
CUST-00797,ZD-100319,2025-02-17T16:09:18.271512,pending,low,5.0,
CUST-00157,ZD-100320,2024-11-24T16:09:18.271518,open,urgent,5.0,1.0
CUST-00587,ZD-100321,2025-10-10T16:09:18.271523,open,urgent,8.0,4.0
CUST-00665,ZD-100322,2025-05-18T16:09:18.271529,solved,low,3.0,3.0
CUST-00511,ZD-100323,2024-09-15T16:09:18.271534,solved,high,6.0,4.0
